city_name,country,latitude,longitude,temperature,temperature_min,temperature_max,feels_like,humidity,pressure,description,weather_condition,wind_speed,wind_direction,cloudiness,timestamp,data_collected_at,temperature_range,date,hour,day_of_week,month,year,temp_category,wind_category
Cairo,EG,30.0626,31.2497,17.42,17.42,17.42,16.37,44,1020,clear sky,Clear,6.59,54,6,2026-01-20 09:40:52+00:00,2026-01-20 09:42:29.764697+00:00,0.0,2026-01-20,9,1,1,2026,Mild,Moderate
Davao,PH,6.813,125.7085,27.56,27.56,27.56,30.78,78,1006,broken clouds,Clouds,4.36,257,67,2026-01-17 14:54:29+00:00,2026-01-17 14:56:09.191083+00:00,0.0,2026-01-17,14,5,1,2026,Warm,Calm
Davao,PH,6.813,125.7085,27.42,27.42,27.42,30.12,75,1006,broken clouds,Clouds,4.59,264,54,2026-01-17 15:39:47+00:00,2026-01-17 15:42:22.356539+00:00,0.0,2026-01-17,15,5,1,2026,Warm,Calm
Davao,PH,6.813,125.7085,28.42,28.42,28.42,31.66,71,1006,overcast clouds,Clouds,1.13,102,94,2026-01-20 09:39:04+00:00,2026-01-20 09:43:11.019808+00:00,0.0,2026-01-20,9,1,1,2026,Warm,Calm
Davao,PH,6.813,125.7085,28.45,28.45,28.45,31.88,72,1010,light rain,Rain,11.4,352,94,2026-01-23 09:32:07+00:00,2026-01-23 09:32:08.100065+00:00,0.0,2026-01-23,9,4,1,2026,Warm,Strong
London,GB,51.5085,-0.1257,8.74,8.74,8.74,5.99,87,1011,overcast clouds,Clouds,5.07,156,93,2026-01-20 09:40:43+00:00,2026-01-20 09:42:22.524081+00:00,0.0,2026-01-20,9,1,1,2026,Cold,Moderate
London,GB,51.5085,-0.1257,7.16,6.62,7.52,3.39,89,984,overcast clouds,Clouds,6.69,110,100,2026-01-23 09:28:09+00:00,2026-01-23 09:32:00.440544+00:00,0.8999999999999995,2026-01-23,9,4,1,2026,Cold,Moderate
Manila,PH,14.6042,120.9822,25.87,24.47,26.18,26.65,82,1007,scattered clouds,Clouds,1.03,0,40,2026-01-17 14:54:40+00:00,2026-01-17 14:56:15.325693+00:00,1.7100000000000009,2026-01-17,14,5,1,2026,Warm,Calm
Manila,PH,14.6042,120.9822,25.65,25.01,26.0,26.39,81,1006,few clouds,Clouds,0.45,310,20,2026-01-17 15:41:25+00:00,2026-01-17 15:42:29.371555+00:00,0.9899999999999984,2026-01-17,15,5,1,2026,Warm,Calm
Manila,PH,14.6042,120.9822,27.83,27.83,27.83,30.47,71,1009,broken clouds,Clouds,3.49,215,68,2026-01-20 09:42:50+00:00,2026-01-20 09:43:12.480523+00:00,0.0,2026-01-20,9,1,1,2026,Warm,Calm
Manila,PH,14.6042,120.9822,26.23,26.12,26.73,26.23,66,1015,few clouds,Clouds,1.79,260,19,2026-01-23 09:28:24+00:00,2026-01-23 09:32:09.730279+00:00,0.6099999999999994,2026-01-23,9,4,1,2026,Warm,Calm
Moscow,RU,55.7522,37.6156,-2.38,-2.38,-2.38,-6.86,94,1025,overcast clouds,Clouds,3.56,297,100,2026-01-20 09:40:17+00:00,2026-01-20 09:42:31.191759+00:00,0.0,2026-01-20,9,1,1,2026,Freezing,Calm
Moscow,RU,55.7522,37.6156,-11.95,-12.01,-10.76,-17.29,93,1028,overcast clouds,Clouds,2.58,105,100,2026-01-23 09:28:14+00:00,2026-01-23 09:32:05.010121+00:00,1.25,2026-01-23,9,4,1,2026,Freezing,Calm
Mumbai,IN,19.0144,72.8479,24.22,24.22,24.22,24.19,57,1011,clear sky,Clear,7.13,317,0,2026-01-20 09:39:39+00:00,2026-01-20 09:42:28.319753+00:00,0.0,2026-01-20,9,1,1,2026,Warm,Moderate
New York,US,40.7143,-74.006,3.46,0.65,4.59,-1.35,51,1018,overcast clouds,Clouds,6.69,220,100,2026-01-17 14:55:22+00:00,2026-01-17 14:56:12.245522+00:00,3.94,2026-01-17,14,5,1,2026,Cold,Moderate
New York,US,40.7143,-74.006,2.49,0.31,3.98,-1.88,65,1018,light rain,Rain,5.14,200,100,2026-01-17 15:40:07+00:00,2026-01-17 15:42:25.463312+00:00,3.67,2026-01-17,15,5,1,2026,Cold,Moderate
New York,US,40.7143,-74.006,-7.83,-7.83,-7.83,-14.83,75,1023,clear sky,Clear,5.79,276,0,2026-01-20 09:40:29+00:00,2026-01-20 09:42:25.443625+00:00,0.0,2026-01-20,9,1,1,2026,Freezing,Moderate
Panabo,PH,7.3081,125.6842,27.06,27.06,27.06,29.97,81,1006,overcast clouds,Clouds,1.51,333,90,2026-01-17 14:56:09+00:00,2026-01-17 14:56:10.712551+00:00,0.0,2026-01-17,14,5,1,2026,Warm,Calm
Panabo,PH,7.3081,125.6842,25.06,25.06,25.06,25.79,83,1006,overcast clouds,Clouds,2.54,342,87,2026-01-17 15:42:22+00:00,2026-01-17 15:42:23.916324+00:00,0.0,2026-01-17,15,5,1,2026,Warm,Calm
Panabo,PH,7.3081,125.6842,27.89,27.89,27.89,30.58,71,1006,overcast clouds,Clouds,2.64,19,99,2026-01-20 09:43:12+00:00,2026-01-20 09:43:13.980795+00:00,0.0,2026-01-20,9,1,1,2026,Warm,Calm
Panabo,PH,7.3081,125.6842,29.06,29.06,29.06,32.13,66,1011,overcast clouds,Clouds,7.79,7,100,2026-01-23 09:32:10+00:00,2026-01-23 09:32:11.927091+00:00,0.0,2026-01-23,9,4,1,2026,Warm,Moderate
Paris,FR,48.8534,2.3488,11.87,10.77,12.3,11.31,84,1015,broken clouds,Clouds,3.6,90,75,2026-01-17 14:54:34+00:00,2026-01-17 14:56:07.687451+00:00,1.5300000000000011,2026-01-17,14,5,1,2026,Mild,Calm
Paris,FR,48.8534,2.3488,11.87,10.77,12.3,11.31,84,1015,broken clouds,Clouds,3.6,90,75,2026-01-17 14:58:02+00:00,2026-01-17 14:58:06.819421+00:00,1.5300000000000011,2026-01-17,14,5,1,2026,Mild,Calm
Paris,FR,48.8534,2.3488,11.15,10.6,11.7,10.57,86,1015,few clouds,Clouds,3.09,90,20,2026-01-17 15:42:19+00:00,2026-01-17 15:42:20.849815+00:00,1.0999999999999996,2026-01-17,15,5,1,2026,Mild,Calm
Paris,FR,48.8534,2.3488,5.48,5.48,5.48,2.94,87,1016,broken clouds,Clouds,3.2,179,76,2026-01-20 09:40:03+00:00,2026-01-20 09:42:21.083067+00:00,0.0,2026-01-20,9,1,1,2026,Cold,Calm
Rio De Janeiro,BR,-22.9028,-43.2075,25.11,25.11,25.11,26.13,94,1011,light rain,Rain,4.56,221,100,2026-01-20 09:37:58+00:00,2026-01-20 09:42:32.621893+00:00,0.0,2026-01-20,9,1,1,2026,Warm,Calm
Sydney,AU,-33.8679,151.2073,20.66,20.66,20.66,20.66,72,1009,few clouds,Clouds,3.33,138,12,2026-01-20 09:41:40+00:00,2026-01-20 09:42:26.904010+00:00,0.0,2026-01-20,9,1,1,2026,Warm,Calm
Sydney,AU,-33.8679,151.2073,20.43,19.66,21.09,20.17,63,1016,clear sky,Clear,4.12,90,0,2026-01-23 09:27:35+00:00,2026-01-23 09:32:03.478480+00:00,1.4299999999999997,2026-01-23,9,4,1,2026,Warm,Calm
Tokyo,JP,35.6895,139.6917,9.25,7.1,10.37,6.25,48,1016,clear sky,Clear,6.11,354,0,2026-01-17 14:51:39+00:00,2026-01-17 14:56:13.793536+00:00,3.2699999999999996,2026-01-17,14,5,1,2026,Cold,Moderate
Tokyo,JP,35.6895,139.6917,8.99,6.55,9.81,5.58,48,1017,clear sky,Clear,7.2,350,0,2026-01-17 15:39:33+00:00,2026-01-17 15:42:27.128754+00:00,3.2600000000000007,2026-01-17,15,5,1,2026,Cold,Moderate
Tokyo,JP,35.6895,139.6917,4.53,4.53,4.53,-1.01,28,1012,overcast clouds,Clouds,9.92,346,100,2026-01-20 09:40:50+00:00,2026-01-20 09:42:23.941698+00:00,0.0,2026-01-20,9,1,1,2026,Cold,Moderate
Tokyo,JP,35.6895,139.6917,6.4,4.78,7.02,3.81,40,1016,few clouds,Clouds,3.6,200,20,2026-01-23 09:28:03+00:00,2026-01-23 09:32:01.953768+00:00,2.2399999999999993,2026-01-23,9,4,1,2026,Cold,Calm
Toronto,CA,43.7001,-79.4163,-13.21,-13.21,-13.21,-20.21,83,1019,overcast clouds,Clouds,6.83,250,100,2026-01-20 09:37:39+00:00,2026-01-20 09:42:34.086656+00:00,0.0,2026-01-20,9,1,1,2026,Freezing,Moderate
Toronto,CA,43.7001,-79.4163,-10.97,-11.95,-10.34,-17.97,69,1019,few clouds,Clouds,11.18,250,20,2026-01-23 09:28:55+00:00,2026-01-23 09:32:06.468823+00:00,1.6099999999999994,2026-01-23,9,4,1,2026,Freezing,Strong
